id,frequency
iš anksto,5821
apie savo,5789
ir kad,5747
6 2,5715
kad jų,5709
kaip tik,5702
atrodo kad,5688
tai gali,5680
praėjusią savaitę,5672
tai nėra,5656
kita vertus,5649
o dabar,5645
tai bus,5644
yra ne,5629
bet tai,5608
praėjusiais metais,5597
didžiosios britanijos,5585
1 2,5581
priklauso nuo,5568
taip kaip,5548
šią savaitę,5534
iš rusijos,5526
kalbant apie,5521
7 6,5502
šiuo atveju,5479
dėmesį į,5469
prieš tai,5458
į kitą,5422
nuo pat,5392
buvo ir,5380
dar vieną,5375
visame pasaulyje,5366
tokiu būdu,5359
negali būti,5335
dvejus metus,5312
4 6,5290
bus galima,5273
tai būtų,5248
pabrėžė kad,5238
tai kaip,5210
ir labai,5208
per dieną,5208
tuo kad,5195
kai kurių,5161
galėtų būti,5160
lietuvos ir,5159
labai svarbu,5136
2014 metų,5126
2015 metų,5118
jo teigimu,5090
kad mes,5090
kad dėl,5075
pas mus,5064
reikalų ministras,5058
3 6,5034
pat ir,5024
lietuvos respublikos,5009
tą patį,4993
iš savo,4989
ir aš,4980
kad po,4973
dėl savo,4971
ir tik,4966
baltijos šalių,4959
policijos komisariato,4957
ką nors,4954
tie kurie,4938
per mėnesį,4934
tas pats,4906
ne vieną,4885
ne taip,4882
pasakyti kad,4866
2013 m.,4854
kad ši,4813
kuo daugiau,4806
nepaisant to,4798
tokiu atveju,4781
tai jau,4749
ir rusijos,4748
kreiptis į,4746
akivaizdu kad,4743
kurį laiką,4709
su rusija,4698
pasakojo kad,4695
šį kartą,4693
tai labai,4692
o po,4690
ir pan.,4669
per savaitę,4660
tai tik,4648
vis daugiau,4647
ne mažiau,4644
dar daugiau,4640
kad taip,4608
socialiniame tinkle,4602
du kartus,4595
rio de,4553
su jais,4544
o jei,4539
ar net,4529
ir per,4523
ar ne,4511
manoma kad,4508
ir europos,4437
pat buvo,4429
dar viena,4427
ir jis,4421
kreipėsi į,4413
o kai,4411
yra vienas,4406
euro zonos,4394
jis taip,4371
panašu kad,4365
žmogaus teisių,4348
teigiama kad,4343
kalbėti apie,4340
pateko į,4339
vienetų varžybų,4336
ten kur,4329
šį sezoną,4329
per pastaruosius,4322
1 d.,4312
ir už,4293
bet ne,4290
2 3,4275
krašto apsaugos,4252
2016 metų,4237
metu buvo,4233
pranešime spaudai,4219
kad mūsų,4213
palyginti su,4198
ir nuo,4197
dar ir,4188
pridūrė kad,4172
su kitais,4163
o vėliau,4155
6 1,4150
lyginant su,4149
kitų metų,4129
ir mes,4127
kas nors,4102
2016 m.,4099
jie yra,4098
7 5,4080
mln. litų,4073
pat yra,4069
iš dalies,4053
jau dabar,4049
kai kurios,4039
yra daug,4037
bns sakė,4035
kad su,4026
kad žmonės,4021
parodė kad,4017
3 0,4001
tvirtina kad,3996
patvirtino kad,3985
į darbą,3958
susiję su,3955
tik dėl,3946
o ir,3944
iš naujo,3934
tik po,3933
0 2,3931
iš jo,3921
atsižvelgiant į,3920
lietuvos rinktinės,3916
ir darbo,3906
transporto priemonių,3903
iš to,3891
artimiausiu metu,3889
ji buvo,3887
t. y.,3884
kad jei,3880
dar prieš,3874
be abejo,3873
gal ir,3854
jav ir,3852
po kelių,3848
tą pačią,3848
kad rusija,3847
tikėtina kad,3846
nustatyta kad,3835
kuris yra,3829
patekti į,3824
tapk delfi,3823
draugu facebook,3822
pripažino kad,3805
ko gero,3800
ir be,3787
ir jau,3784
metu yra,3783
mlrd. eurų,3782
jau ne,3776
delfi primena,3768
į šį,3756
žmonių kurie,3751
yra tik,3747
kad visi,3742
kai buvo,3740
į ligoninę,3737
ir jie,3731
labai gerai,3730
iš kurių,3723
ir kitos,3712
į vieną,3711
mes turime,3708
turnyro lentelė,3699
islamo valstybės,3697
nekilnojamojo turto,3694
2014 metais,3690
per visą,3676
10 metų,3675
darbo partijos,3672
į lietuvos,3670
kad lietuvos,3661
ką tik,3651
net jei,3639
ir mūsų,3637
kas vyksta,3637
informacijos apie,3635
dar nėra,3634
tačiau ir,3624
ir tuo,3622
iš visų,3607
kad kai,3607
tam tikrą,3604
ne visi,3597
tūkst. litų,3590
ką daryti,3557
trejus metus,3554
su ja,3551
baltijos šalyse,3550
yra viena,3550
ilgą laiką,3541
proc o,3541
20 metų,3519
ir kt.,3511
už šio,3497
kelis kartus,3492
vis tik,3490
tai padaryti,3481
kad reikia,3467
tiek ir,3464
kad ne,3453
penkerius metus,3452
gali tapti,3427
dabar jau,3415
kad rusijos,3415
ir kitus,3412
bus apie,3411
labai sunku,3410
kurie yra,3407
2012 m.,3403
kaip tai,3402
ne vienas,3399
visą laiką,3390
dėmesį kad,3389
kad lietuvoje,3385
ne visada,3385
iš kur,3384
tam tikrų,3384
pasakė kad,3383
vieną dieną,3381
ir jav,3366
ji yra,3361
į jį,3348
prieš metus,3343
į europos,3343
2 6,3329
vienu metu,3329
laipsnių šilumos,3326
rusijos ir,3325
2013 metais,3324
kad jau,3319
tikrai ne,3310
paskelbė kad,3301
šio rašinio,3294
delfi už,3293
jau seniai,3287
iki tol,3285
ir kai,3285
laisvės atėmimo,3285
yra subjektyvi,3285
kad nuo,3282
kuris buvo,3277
naujienų agentūra,3276
tačiau jis,3276
informaciją apie,3275
rašinio turinį,3275
turinį neatsako,3275
neatsako nes,3273
tikiuosi kad,3273
skaitytojo nuomonė,3268
subjektyvi skaitytojo,3264
o dar,3262
kad buvo,3261
tiek daug,3254
iš mūsų,3253
ir pats,3250
ne vien,3248
į teismą,3247
6 6,3244
atkreipti dėmesį,3243
su lietuvos,3243
tik iš,3231
dabar yra,3229
dėl šios,3225
pažymėjo kad,3224
tik su,3223
vyriausiojo policijos,3220
kitaip tariant,3219
į rusiją,3217
vis labiau,3212
3 1,3209
kelerius metus,3196
daugiau negu,3194
ikiteisminis tyrimas,3190
galėjo būti,3186
svarbu kad,3184
atk. kam,3177
ta kad,3175
jis gali,3172
rytų ukrainoje,3169
todėl ir,3160
ir tada,3158
ir mokslo,3151
aš manau,3134
europos sąjunga,3134
kad net,3132
jų ir,3130
tik tada,3122
ir bus,3116
lietuvos laiku,3112
kad viskas,3111
2013 metų,3106
vieną iš,3106
kitais metais,3105
oro uosto,3101
būti kad,3100
dėl ko,3088
tuomet kai,3085
už savo,3083
vien tik,3075
kad jam,3069
jis turi,3065
dalia grybauskaitė,3063
transporto priemonės,3063
iš kitų,3060
o kaip,3057
švietimo ir,3056
dar yra,3054
tvirtino kad,3054
įsitikinęs kad,3053
grįžti į,3051
2015 metais,3041
iki pat,3040
tos pačios,3038
lietuvos rytas,3037
d. grybauskaitė,3033
tai ko,3029
kartą per,3028
kad aš,3020
sakyti kad,3014
sovietų sąjungos,3008
delfi sakė,3007
nemanau kad,3006
apskrities vyriausiojo,3004
o aš,3003
de žaneiro,3002
rusijos prezidentas,2996
tik apie,2991
kad šiuo,2990
kai jis,2990
oro uoste,2984
kad čia,2978
buvo galima,2974
ikiteisminį tyrimą,2973
mūsų šalies,2968
vladimiras putinas,2967
prizų fondą,2963
jie buvo,2958
jungtinės karalystės,2958
ir kitas,2953
ir kas,2949
bet aš,2948
iš europos,2946
kuo greičiau,2941
metu kai,2941
kad toks,2939
sakė a.,2939
cm ūgio,2924
lietuvos ryto,2921
europos komisijos,2917
o iš,2911
ą vietą,2910
ir t.t.,2909
jie turi,2907
kiekvieną dieną,2902
tiems kurie,2902
kad tik,2899
be galo,2897
tikino kad,2897
ministras pirmininkas,2893
ir gali,2890
laipsnius šilumos,2888
jungtinių tautų,2887
ir lietuvoje,2884
suprasti kad,2884
susijęs su,2884
primename kad,2880
tris kartus,2879
daugiau naujienų,2875
jie gali,2873
o štai,2873
žinau kad,2873
ketverius metus,2871
būti ir,2870
didžioji dalis,2869
naujienų agentūrai,2869
kaip į,2868
pasaulinio karo,2866
ir iki,2862
darbo vietų,2861
kitą dieną,2857
tikina kad,2846
ir čia,2844
nes jie,2844
ne dėl,2843
ir ką,2841
algirdas butkevičius,2840
kad šie,2838
maisto produktų,2833
2 2,2832
vilniaus apygardos,2829
jau po,2828
o taip,2828
tiek pat,2827
kuri yra,2826
tai tikrai,2823
nė vieno,2821
kada nors,2815
pasak jos,2811
supratau kad,2806
europos sąjungoje,2805
į tą,2803
2012 metais,2802
f 1,2801
iš tų,2798
nereiškia kad,2784
tai jog,2773
ledo ritulio,2772
socialiniuose tinkluose,2770
susipažinti su,2770
naujienų facebooke,2768
maisto ir,2763
labai greitai,2745
tyrimo metu,2744
nes jis,2742
kad bus,2741
į vilnių,2739
taip yra,2730
vis dažniau,2730
prezidentė dalia,2726
aš esu,2722
metų ir,2721
kad lietuva,2718
kelių policijos,2718
ir visi,2716
pastaraisiais metais,2714
vilniaus universiteto,2711
lietuvoje ir,2700
turi teisę,2700
o kas,2696
žmonės kurie,2688
ir netgi,2687
islamo valstybė,2684
mes esame,2681
antrą kartą,2679
fondą sudaro,2675
a. butkevičius,2669
vieną kartą,2669
galima rasti,2668
po truputį,2667
tam tikras,2667
aišku kad,2657
tūkst. žmonių,2653
3 4,2650
sąjungos es,2650
nustatė kad,2648
galų gale,2647
patikino kad,2647
ir turi,2645
sveikatos apsaugos,2642
o paskui,2639
kovoti su,2630
ir daug,2629
iš jos,2629
ir ar,2628
pastebi kad,2627
ne iš,2625
kalbama apie,2624
su kuriais,2620
čia yra,2620
taškų ir,2619
kad dabar,2618
tikisi kad,2615
kartus per,2614
po dviejų,2611
nė vienas,2610
pridūrė jis,2606
į šią,2606
ir vis,2605
su vaikais,2604
tai dar,2603
prisijunk prie,2602
a lygos,2598
generalinis direktorius,2596
o jo,2590
to paties,2585
keletą metų,2584
ir kauno,2578
5 6,2575
požiūris į,2575
ant savo,2574
vargu ar,2568
10 taškų,2566
ikiteisminio tyrimo,2565
rez. perd.,2565
daug kas,2564
man buvo,2563
prisidėti prie,2561
po vieną,2559
rezultatyvius perdavimus,2558
atkreipė dėmesį,2554
jis ir,2549
su rusijos,2548
antrą vietą,2545
aplinkos apsaugos,2541
per tą,2537
lietuvoje yra,2535
informacija apie,2530
15 metų,2529
kad dar,2528
kaip jis,2525
1 6,2524
tik į,2519
ir mano,2516
ir prieš,2516
kelių eismo,2516
šios šalies,2512
mūsų šalyje,2506
kad galėtų,2504
tarp kurių,2503
iš darbo,2494
ir jį,2488
o tada,2487
teniso turnyro,2484
10 tūkst.,2479
su kuriuo,2476
į ją,2475
turėjo būti,2473
buvo ne,2472
apie 20,2470
dėl šio,2470
per savo,2469
ir ji,2466
santykius su,2466
priklausomai nuo,2465
sakoma kad,2465
į namus,2465
kad už,2464
jau nuo,2463
sakė ji,2463
bet jis,2462
ar tikrai,2458
didžiojoje britanijoje,2458
3 2,2455
lietuvos krepšinio,2452
jav dolerio,2451
es ir,2443
miesto savivaldybės,2441
tikimės kad,2440
jam buvo,2435
jog tai,2435
kovos su,2435
po 10,2435
o į,2434
saugumo ir,2432
dėl kurių,2430
apie 10,2426
1 3,2425
ir a.,2423
iš vilniaus,2423
na o,2423
tol kol,2420
ir kiek,2419
kelias dienas,2415
žino kad,2413
naktį ir,2412
apsaugos ir,2405
jungtinių valstijų,2405
10 proc.,2404
kitų šalių,2404
ejų metų,2397
turi ir,2397
iš namų,2396
turi savo,2393
tyrimą dėl,2387
ir nors,2386
dėl jo,2385
eismo įvykio,2385
jei ne,2384
į mūsų,2377
dvi savaites,2375
ir ukrainos,2374
anot jos,2373
ar jis,2372
ir kartu,2370
kurie buvo,2368
lygiai taip,2364
o jeigu,2364
su vyru,2361
man tai,2360
seimo narys,2357
džiaugiuosi kad,2356
iš užsienio,2351
metų pabaigoje,2349
savo nuomonę,2349
facebook ir,2347
nuo kitų,2345
paklaustas ar,2344
susitiks su,2340
pastebėjo kad,2332
kad prieš,2331
iki galo,2327
tiek kiek,2326
galima būtų,2323
šiuo klausimu,2323
tikrai nėra,2322
kad mano,2321
ir viskas,2319
į kurią,2317
tai daryti,2316
olimpinių žaidynių,2314
viso pasaulio,2312
tačiau kai,2311
kad iki,2309
ir vienas,2308
į jav,2307
ir man,2306
su savimi,2305
labai svarbus,2304
toli gražu,2303
visą gyvenimą,2302
į kurį,2300
į klausimą,2299
bet jei,2294
kiek daugiau,2291
tačiau ne,2289
yra apie,2285
gali sukelti,2284
metų amžiaus,2270
kad jeigu,2269
vienas kitą,2267
5 7,2266
ts lkd,2265
į užsienį,2264
kad gali,2262
yra tai,2260
50 proc.,2258
pabrėžia kad,2255
to kas,2255
20 proc.,2250
čia ir,2249
atkreipia dėmesį,2248
man labai,2246
yra visiškai,2238
ir ryte,2237
reikalų ministerijos,2236
bet kai,2229
daug laiko,2229
kai kuriuos,2228
daug metų,2223
praneša kad,2223
į europą,2220
b. obama,2218
drauge su,2218
europos čempionato,2216
rytų europos,2215
su žmona,2213
jungtinės valstijos,2211
2011 m.,2209
kad apie,2209
prisipažino kad,2209
mln. dolerių,2205
vladimiro putino,2205
paskutinį kartą,2204
ir juos,2200
iš šalies,2198
iš sporto,2197
savo gyvenimą,2196
ir vilniaus,2195
mlrd. dolerių,2190
iš es,2189
ir jei,2188
tik vienas,2187
o jų,2186
metus iš,2185
prieš pat,2182
lietuvos rinktinė,2181
tikiu kad,2180
to laiko,2178
dar ne,2176
kai tik,2176
kurio metu,2176
tačiau jei,2176
ir kitose,2173
apie ką,2172
į rusijos,2172
gali turėti,2170
lietuvių kalbos,2167
galima sakyti,2164
ir panašiai,2159
savo gyvenimo,2158
buvo tik,2156
pranešta kad,2153
ir patys,2151
2012 metų,2150
gamtinių dujų,2149
kaip jie,2146
gali ir,2145
o mes,2145
tuo atveju,2145
tuo pat,2142
buvo vienas,2141
kitą savaitę,2137
man atrodo,2137
jų buvo,2129
kai kuriems,2129
jų yra,2128
kad tas,2128
metų pradžioje,2126
to ką,2126
su visais,2124
anksčiau buvo,2122
eiti į,2122
jis pats,2122
5 proc.,2112
kad nėra,2112
su kuo,2111
nuo šiol,2110
po kurio,2110
prezidentas vladimiras,2110
pripažįsta kad,2108
be jokių,2107
po šio,2107
požiūrį į,2107
sutartį su,2106
atstovas spaudai,2104
kur yra,2104
nuo jo,2103
policijos pareigūnų,2099
tam tikra,2098
liberalų sąjūdžio,2096
tačiau dabar,2096
susitiko su,2095
kad šios,2091
naujienas iš,2090
o dėl,2090
metais buvo,2089
sporto mėgėjų,2089
atskleidė kad,2086
europos parlamento,2083
dar tik,2078
vilniuje ir,2077
įžvalgomis ir,2077
delfi sporto,2067
tačiau po,2067
gal net,2066
gali padėti,2064
yra ta,2064
iš pirmo,2063
laiko ir,2063
lietuvos futbolo,2063
aiškino kad,2062
antrojo pasaulinio,2062
proc. ir,2061
sausio 1,2057
11 metrų,2054
kad jiems,2053
bet mes,2052
to ir,2052
vienerius metus,2051
2011 metais,2049
daugiau laiko,2049
per vieną,2049
į juos,2047
su kitomis,2046
šią vasarą,2046
kad būtent,2045
spaudos konferencijoje,2043
sporto arenų,2043
europos komisija,2042
prie tūkstančių,2039
ir komentarais,2038
prie to,2037
visai neseniai,2037
jau ir,2035
mėgėjų bendruomenės,2035
olimpinėse žaidynėse,2035
bendruomenės tapk,2033
ir žaliųjų,2033
tūkstančių sporto,2033
šviežiausias naujienas,2033
arenų dalinkis,2031
dalinkis įžvalgomis,2031
facebook sužinok,2031
sporto draugu,2031
sužinok šviežiausias,2031
vienas kitam,2031
metų sausio,2030
kiekvienais metais,2028
kalba apie,2025
40 proc.,2023
valstiečių ir,2021
į seimą,2020
0 3,2019
kad jav,2019
pat metu,2018
prieš keletą,2018
jungtinėje karalystėje,2013
kiek laiko,2013
vyrų teniso,2012
į šalį,2012
šiais laikais,2012
teigė jog,2011
reikalų ministerija,2007
lietuvos kariuomenės,2006
su manimi,2005
matyti kad,2003
6 0,2001
dėl jų,1998
į vilniaus,1997
30 proc.,1996
atgal į,1995
darbo užmokesčio,1994
šį klausimą,1994
ir žinoma,1993
rusijos prezidento,1993
d. trumpas,1992
pat bus,1990
savo darbą,1990
ir tikrai,1988
ir du,1987
šio sezono,1986
kai kuriose,1985
ir nėra,1984
trečią vietą,1983
lyg ir,1982
temperatūra sieks,1977
kad v.,1976
kultūros ir,1976
oro pajėgų,1972
manyti kad,1971
ar jie,1970
tačiau kaip,1969
teigti kad,1967
yra iš,1966
ir anksčiau,1965
su šia,1964
jis jau,1962
viešųjų ryšių,1962
bet vis,1960
jis bus,1958
bendrauti su,1954
mažiau kaip,1954
pat kaip,1953
tikrai yra,1953
dienos metu,1952
ir ten,1952
yra daugiau,1946
kartu ir,1945
su draugais,1945
kalbėdamas apie,1943
ne daugiau,1942
proc. iki,1942
daug žmonių,1941
sakė jog,1940
tikėtis kad,1940
30 metų,1939
ne į,1939
europos šalių,1937
bet iš,1932
pagal skirstymą,1932
tik vieną,1930
iš šių,1929
ne itin,1925
nurodo kad,1925
nuo jų,1923
tų kurie,1923
tuos kurie,1920
vieno iš,1919
galiu pasakyti,1917
proc. visų,1914
pasakoja kad,1911
nors iš,1910
ir jam,1909
į viršų,1909
premjeras algirdas,1908
tvarka ir,1906
nurodoma kad,1904
bet kaip,1902
atsakyti į,1901
skelbiama kad,1901
daug dėmesio,1895
kalbame apie,1892
metu bus,1891
jei tai,1889
užtikrinti kad,1887
dirbti su,1886
tikimasi kad,1885
o nuo,1884
už ką,1883
neturėtų būti,1880
kaip teigia,1878
tiesą sakant,1877
vilniaus ir,1876
jo nuomone,1872
yra per,1872
ir užsienio,1869
informuoja kad,1867
tiek kad,1867
ir kitiems,1866
čempionų lygos,1865
ir ją,1864
su šeima,1864
ant žemės,1863
kad man,1862
nacionalinio saugumo,1861
sakė r.,1861
ir v.,1860
po 2,1860
socialinės apsaugos,1860
ta pati,1860
teisės aktų,1858
ar yra,1857
2008 m.,1856
daugiau dėmesio,1854
kuri buvo,1854
proc. daugiau,1852
kaip buvo,1851
tačiau jie,1851
dešimt metų,1850
į jų,1849
su kuria,1844
kriminalinės policijos,1841
šioje srityje,1839
ir veterinarijos,1838
šiaurės korėjos,1838
jis sakė,1836
buvo sužeisti,1835
ir kur,1835
sakė v.,1835
savo sienos,1835
ir tokių,1832
kaip jau,1830
galima tikėtis,1829
būtent dėl,1828
jav prezidentas,1827
į jo,1827
informavo kad,1826
o tik,1822
svarbiausia kad,1822
tačiau ji,1819
tuo labiau,1819
bet dabar,1818
ir t.,1817
atrodė kad,1816
dėl rusijos,1816
pripažinti kad,1816
ir prie,1815
pirminiais duomenimis,1815
spaudos konferenciją,1815
susitikti su,1813
antroje vietoje,1812
bus labai,1812
jei jis,1810
kai kas,1810
pat gali,1810
žurnalistams sakė,1810
maža to,1809
atvykti į,1807
prisijungti prie,1807
seimo nariai,1807
ą minutę,1806
gyvenimo draugu,1805
iš kitos,1805
delfi gyvenimo,1804
seimo narių,1804
po metų,1803
bet taip,1801
el.paštu pilieciai@delfi.lt,1794
ir sek,1794
mes galime,1793
termometrai fiksuos,1793
tam tikros,1792
naujienas ant,1791
sek naujienas,1791
penkerių metų,1789
į ukrainą,1789
pradėtas ikiteisminis,1788
kad vienas,1787
mano nuomone,1787
bet jie,1785
kad esu,1785
lietuvos gyventojų,1784
a. merkel,1783
pačią dieną,1783
buvo sulaikytas,1782
kelis mėnesius,1782
tam tikrus,1782
ji taip,1781
kad tokie,1781
manome kad,1781
viešųjų pirkimų,1781
kas iš,1780
jokiu būdu,1779
žinoma kad,1778
šaltojo karo,1775
yra pakankamai,1774
daugiau žmonių,1773
kad jį,1773
ir teisingumas,1772
dar nebuvo,1766
gerai kad,1765
dvejų metų,1762
tai iš,1759
suprantu kad,1758
tai rodo,1758
mercedes benz,1757
12 taškų,1756
kad žmogus,1756
šios priežasties,1756
apie 30,1755
iki 10,1755
iki 20,1755
iš vienos,1753
jos teigimu,1753
o ką,1753
su šiuo,1753
susiduria su,1752
lietuvos banko,1751
darbą ir,1750
h. clinton,1748
los andželo,1748
pirmo žvilgsnio,1748
vien dėl,1748
vietą ir,1748
ir pati,1746
18 metų,1745
ne tiek,1745
o jis,1745
tris mėnesius,1744
4 5,1743
bet ar,1743
ryšius su,1742
ir visa,1741
kad ten,1739
apygardos teismas,1735
centrinio banko,1735
jau anksčiau,1734
per mažai,1734
susijusi su,1734
ir šiuo,1732
per tris,1732
su jav,1732
europos čempionate,1729
rusijos federacijos,1728
4 1,1727
ir kodėl,1727
nėra labai,1727
4 0,1726
ir tam,1725
yra itin,1725
iš trijų,1724
naftos kainos,1724
įvykio vietą,1722
nuo šių,1721
skiriasi nuo,1720
yra toks,1720
kad kažkas,1719
yra tas,1719
užkirsti kelią,1716
tūkst. dolerių,1715
2010 metais,1714
faktas kad,1713
eismo taisyklių,1712
paaiškino kad,1710
yra tokia,1710
nepriklausomai nuo,1709
darbo kodekso,1707
miesto apylinkės,1706
nei prieš,1706
prie jo,1706
to kaip,1706
2009 m.,1704
patenka į,1702
ir gerai,1701
kauno miesto,1701
kas bus,1700
nuo tada,1700
vienu iš,1699
iš jav,1698
kad tokia,1698
nusprendė kad,1697
o jos,1697
klausimas ar,1696
grįžo į,1694
kitaip nei,1694
ir vakarų,1693
kad nors,1693
pakilo į,1692
tačiau iš,1691
ir kitais,1690
ir valstybės,1690
atvyko į,1688
o su,1688
prieš kelias,1688
atvejų kai,1687
tačiau jo,1687
darbo užmokestis,1686
pažymi kad,1686
jei tik,1685
teisių apsaugos,1685
atsakomybę už,1684
dar du,1684
kas buvo,1684
į finalą,1684
kaip galima,1683
ir pasaulio,1682
ir sporto,1682
paros pusėje,1682
užsienio politikos,1680
metų pabaigos,1679
pirmoje paros,1679
trejų metų,1679
ar dar,1678
pranešama kad,1678
iškart po,1676
m. sausio,1676
bendroje įskaitoje,1674
tai nereiškia,1674
tačiau dėl,1671
čia pat,1671
supranta kad,1668
eurų o,1667
ar kitų,1666
gali tekti,1665
kas nėra,1665
ne apie,1663
tikslas yra,1661
tikimybė kad,1660
2010 m.,1658
rusijos užsienio,1658
11 taškų,1656
bendruoju pagalbos,1656
didžioji britanija,1656
ir to,1656
kad tie,1656
kai kur,1656
transporto priemones,1656
tą laiką,1656
visų laikų,1656
ir visai,1654
baltijos jūros,1652
kad a.,1652
tiesiai į,1652
o per,1649
sakė d.,1647
kaip yra,1646
be jokios,1645
ką reiškia,1645
vienas jų,1645
viskas gerai,1644
2 proc.,1643
ir nieko,1643
ji gali,1643
man patinka,1643
pasaulio čempionato,1643
bus ir,1642
gaila kad,1641
kurio prizų,1640
į galvą,1638
šioje šalyje,1634
ir es,1633
iš ukrainos,1633
tačiau yra,1632
apie 2,1631
ar kitaip,1631
elektros energijos,1631
ką jis,1631
po pratęsimo,1631
toje pačioje,1631
iš dviejų,1630
pasaulio čempionate,1630
ne ką,1628
ir verslo,1625
labai dažnai,1624
naktį iš,1624
į rankas,1624
ir kaune,1623
dar buvo,1621
ar iš,1620
už barelį,1620
15 proc.,1619
galima tik,1618
susidūrė su,1616
tik dar,1616
ir šiandien,1615
iki šių,1613
agentūrai afp,1611
nes ji,1611
2011 metų,1610
prekybos centro,1608
tokių kaip,1605
iš 11,1604
jos yra,1604
kas tai,1602
su europos,1600
to jis,1599
ką jie,1598
jav prezidento,1596
tik tuomet,1595
žmonių ir,1595
bet kuriuo,1593
tą dieną,1593
ir tapo,1591
reitingo taškų,1591
100 tūkst.,1590
kai jie,1589
nėra taip,1589
tik tai,1588
tik tuo,1588
vos per,1588
30 min.,1585
su žmonėmis,1585
kaip rašo,1584
per parą,1584
įskaitant ir,1584
į akis,1582
2017 metų,1580
mokslo ir,1579
yra dar,1578
yra mūsų,1578
kur nors,1577
kurie gali,1577
prie jų,1577
v. putinui,1576
vilniaus apskrities,1576
po trijų,1574
tai praneša,1574
dėl jos,1573
pietų korėjos,1573
kurie turi,1572
v putinas,1572
galima ir,1567
juo labiau,1565
per šį,1564
vykti į,1564
į įvykio,1563
2009 metais,1561
ir jiems,1560
ir kita,1560
daugiau informacijos,1559
ir lenkijos,1559
suprato kad,1559
buvo daug,1558
kad jai,1557
tačiau taip,1557
ji turi,1556
madrido real,1556
vertybinių popierių,1555
praėjusį sezoną,1554
rajono savivaldybės,1554
mums reikia,1552
seimo nario,1552
2016 metais,1551
kurios yra,1551
tačiau vėliau,1551
į save,1551
centrinis bankas,1550
tačiau jų,1550
pačiu metu,1549
tie patys,1549
į kitas,1549
didžiąją dalį,1546
apie jį,1545
kad jūsų,1545
visi jie,1545
ir jeigu,1544
nuotraukų galerijoje,1544
d apie,1542
apie save,1540
d. apie,1539
žinome kad,1539
apie šį,1538
bet kokiu,1536
ir j.,1536
per kurį,1536
matome kad,1535
skelbia kad,1535
bet yra,1534
šį mėnesį,1533
kai į,1532
kai ji,1531
būti labai,1530
oro uostą,1530
rusija ir,1530
kas gali,1528
yra gana,1526
visą parą,1523
