Class;Text
POS;šalies įmonių pergalės kuriant kosmoso technologijas rodo, kad gebame kosminių technologijų rinkai pasiūlyti lietuviškų sprendimų. šiemet Europos kosmoso agentūros konkursą laimėjo net 9 projektai, kuriems skirtas finansavimas plėtoti technologijas bei kurti produktus ir paslaugas, kurių šiandien Europoje labai trūksta, rašoma pranešime žiniasklaidai.
POS;„Tai rodo, kad Lietuvoje turime kosmoso bendruomenę, kuri stabiliai auga, žino Europos iššūkius kosmoso srityje ir geba pasiūlyti sprendimus jiems spręsti. EKA konkursas leidžia Lietuvos įmonėms bei mokslo ir studijų institucijoms plėtoti tas technologijas, kurti produktus ir paslaugas, kurių šių dienų Europoje ypač trūksta.
POS;Viena tokių įmonių – informacinių sistemų ir programinės įrangos kūrimo bendrovė „Elsis PRO“, ne vienerius metus plėtojanti aviacijos, gynybos ir kitus projektus. UAB „Elsis“ grupės vadovas Arūnas Gedvila sako, jog įmonės žingsnis į naują rinkos segmentą – kosmosą – yra logiška įmonės veiklos, susijusios su aviacija bei ryšių technologijomis, tąsa.
POS;Atėjus į kosmoso rinką privatiems žaidėjams, stipriai sumažėjo palydovų paleidimo kaštai. šiuo metu daug įmonių kuria palydovus, kurie galėtų atlikti įvairias misijas. Dažniausiai įmonės kuria palydovų platformas, o tada šias platformas pritaiko konkrečioms misijoms – įdiegiami reikalingi sensoriai (pavyzdžiui, infraraudonųjų spindulių kamera, didelės raiškos kamera), sukuriama ir įdiegiama atitinkama programinė įrangą ir palydovas paleidžiamas į kosmosą vykdyti misijos“, – aiškina „Elsis PRO“ inovacijų vadovas Arūnas Ungulaitis.
POS;Be to, kyla komunikavimo iššūkių, kai reikia perduoti kiek įmanoma daugiau duomenų, priklausomai nuo jų prioriteto – pavyzdžiui, duomenys, skirti žmogaus gelbėjimo operacijai turėtų būti svarbesni nei miškų sausringumo duomenys. Ir jei gausime sausringumo duomenis vėliau, iškils tik nepatogumų, o savalaikiai gauti duomenys, skirti žmogaus gelbėjimo misijai, gali išgelbėti žmogaus gyvybę. „Elsis PRO“ kartu su partneriais imasi spręsti šiuos komunikavimo iššūkius“, – pabrėžia A. Ungulaitis.
POS;UAB „Elsis TS“ generalinis direktorius Tomas Vrubliauskas pažymi, jog ši sutartis ir graikų kompanijos IDE investicinis projektas yra svarbūs tiek Lietuvos gynybos pramonės pajėgumų vystymui, tiek ir Lietuvos kariuomenės gynybos sistemų vidinio ryšio operatyviam logistiniam palaikymui: prireikus įrangos remonto, techninis aptarnavimas visada bus šalia.
POS;šios sutarties pagrindu IDE dar 2016 metais perdavė „Elsis TS“ technologines žinias ir įrangą bei apmokė darbuotojus jų gaminamos produkcijos instaliavimui šarvuotose transporto priemonėse bei instaliacinių komplektų gamybai Lietuvoje. šiais metais „Elsis TS“ pagamino pirmą partiją instaliacinės įrangos komplektų, kurie bus naudojami Lietuvos kariuomenėje.
POS;Laimėjusi tarptautinį rangovų konkursą, UAB ?Elsis TS? pradeda įgyvendinti pirmąjį projektą Ukrainoje. Liepos pabaigoje pasirašytos sutarties įgyvendinimo laikotarpis – 8 mėnesiai, o vertė – daugiau nei 4 mln. Lt (1,179 mln. eurų.) černigovo miesto vandentiekio ūkio modernizavimo projektas yra finansuojamas ?Tarptautinio rekonstrukcijos ir plėtros? banko.
POS;Pasak ?Elsis TS“ generalinio direktoriaus Dariaus Imbraso: ?Nors projektas vadinasi ?Telemetrijos sistemos projektavimo, gamybos, tiekimo ir diegimo darbai?, realiai diegiamą sistemą sudarys visų vandens tiekimo tinklų telemetrija, hidrauliniai skaičiavimai realiame laike, integruotas eksploatacinio autotransporto sekimas ir informacijos perdavimas į apskaitą „, – teigia D. Imbrasas. Anot D. Imbraso, ?Elsis TS? į Ukrainą ateina ilgalaikiams projektams, todėl neužilgo ketinama atidaryti ir pilnavertę atstovybę.
POS;Siekdami įsitvirtinti šioje didelėje ir labai perspektyvioje rinkoje, nusprendėme Kijeve iki metų pabaigos atidaryti atstovybę, kurios registravimo procesas jau pradėtas. šis strategiškai svarbus žingsnis leis geriau pristatyti įmonės kuriamus produktus potencialiems klientams, išplėsti pardavimo, eksporto apimtis bei labiau įsitvirtinti Ukrainos rinkoje?, – strateginiais planais dalinosi ?ELSIS TS“ generalinis direktorius D. Imbrasas.
POS;„Elsis“ grupės vadovų teigimu, įrengiant biuro patalpas, dėl veiklos pobūdžio ir naujausių tyrimų rezultatų, teigiančių, kad ne visuomet tokio tipo biure žmonių savijauta ir darbingumas yra geresni, nuspręsta atsisakyti šiuo metu itin populiaraus biuro „be sienų“ išplanavimo.
POS;„Elsis“ grupės įmonės vykdo įvairaus saugumo lygio IT projektus Lietuvos ir užsienio klientams, todėl atvirų erdvių biuro išplanavimas nėra tinkamas mūsų veiklos specifikai. Pastate darbo vietos įrengtos „kabinetiniu“ principu, po 5-8 darbo vietas tam, kad būtų galimybė užtikrinti patalpų saugumo kontrolę, todėl ir darbuotojų kabinetus skiriančios stiklinės pertvaros dengtos matine plėvele, o į kabinetus patekti gali tik tam projektui autorizuoti darbuotojai. Visa tai dėl to, kad būtų užtikrinti saugumo reikalavimai vykdomiems projektams“, – aiškino UAB „Elsis“ generalinis direktorius Arūnas Gedvila.
POS;„Ne vienas pastaruoju metu pasaulyje atliktas mokslinis tyrimas patvirtino, kad dažnai atvirų erdvių biuras neigiamai veikia darbuotojų darbo efektyvumą, gebėjimą susikaupti, sudaromos sąlygos plačiai neigiamų emocijų sklaidai. Vykdant IT projektus, o ypač projektuojant ir kuriant programinius produktus, palanki darbinė aplinka, kurioje darbuotojas gali susikaupti – labai svarbu, todėl siekėme, kad specialistams būtų užtikrintos ramios, patogios darbo erdvės, kad jų darbo netrikdytų šurmulys. Be to, darbas mažesnėse erdvėse yra privatesnis ir daugumos mūsų darbuotojų labiau mėgstamas“ – teigė UAB „Elsis PRO“ programinės įrangos gamybos vadovas Vidmantas Kajokas.
POS;Nors dirbama privačiuose kabinetuose, įmonės pasirinkta darbo vietų organizavimo sistema užtikrina darbuotojų ir jų darbo vietų dinamiką.
POS;„Darbuotojai dirba pasiskirstę komandomis po 5-8 žmones, o kabinetas skiriamas ne pagal pareigybes, o pagal projektus. Specialistai, vykdantys tam tikrą projektą, dirba vienoje erdvėje. Vieno projekto trukmė – nuo kelių mėnesių iki kelių metų. Tą projektą pabaigę, jie prisijungia prie naujos komandos naujam projektui, taigi natūraliai pasikeičia ir darbo vieta. Tokiu būdu darbuotojai turi galimybę artimiau susipažinti su naujos komandos nariais, bendradarbiavimas tampa efektyvesnis: visi su projektu dirbantys žmonės yra vienoje erdvėje, tad iškilusi problema sprendžiama greičiau“, – tokios darbo vietų organizavimo sistemos privalumus vardina V. Kajokas.
POS;Pasak bendrovės „Elsis TS“ vadovo Tomo Vrubliausko, kai visos Kaune veikiančios „Elsis“ grupės įmonės įsikūrė viename pastate, įmonių bendradarbiavimo efektyvumas ženkliai pagerėjo po to. Nepaisant technologijų pažangos, yra klausimų, kuriuos greitai ir efektyviai išspręsti galima tik bendraujant gyvai.
POS;„Dirbame protinį darbą, todėl pertraukos metu „išvėdinti smegenis“ – ypač pravartu. Ne veltui tokių kūrybiškumu garsėjančių įmonių, kaip „Apple“ ar „Google“ biurai suprojektuoti taip, kad jų darbuotojai, išėję iš savo kabinetų, turėtų kuo daugiau progų susitikti ir užmegzti pokalbį su kolegomis. Tyrimais įrodyta, kad atsitiktiniai pokalbiai skatina kūrybiškumą, įkvepia naujų minčių ir suteikia jėgų tolesniems darbams“, –pasakoja „Elsis PRO“ vyriausioji sistemų analitikė-projektuotoja Vaida Baškevičienė.
POS;„Vilniaus oro uoste buvo pakeistos dvi automatinės meteorologinės stotys, įdiegti nauji matomumą matuojantys prietaisai, du nauji debesomačiai bei naujas perkūnijos jutiklis. šie įrenginiai matuoja vėją, oro drėgnumą, temperatūrą, atmosferos slėgį, kritulių kiekį ir intensyvumą“, – aiškino p. Imbrasas.Ponas Imbrasas aiškino, kad naujoji sistema pakeitė senąją, o „Elsis TS“ atliko naujos sistemos įdiegimo darbus.
POS;Mokslo, studijų ir verslo centre „Santara“ įsikūrusiame Visorių informacinių technologijų parke (VITP) šiuo metu dirba daugiau nei 700 informacinių technologijų srities specialistų. šiame parke yra įsikūrusios inovatoriškiausios Lietuviškos bendrovės, kuriančios technologijas ar programinę įrangą. Viena iš tokių – pirmoji Lietuvoje įsikūrusi bendrovė „Baltic Amadeus“, kuri buvo įkurta dar 1988 metais.
POS;šiuo metu įmonėje dirba daugiau nei 100 IT specialistų. 2014 metais lyginant su praėjusiais, įmonės pajamos išaugo 19 procentų, iki beveik 3 milijonų eurų. šiais metais „Baltic Amadeus“ pirmą kartą dalyvavo cv.lt organizuotuose „Geidžiamiausio darbdavio rinkimuose smulkių ir vidutinių įmonių kategorijoje“, kuriuose laimėjo pirmąją vietą, ir aplenkė tokias įmones kaip vieną iš populiariausių mobiliojo ryšio operatorių Lietuvoje „Tele2“ ir „TELE-3“ – įmonę, valdančią populiariausią Lietuvoje televizijos kanalą TV3.
POS;įmonės klientai – visiems gerai žinomos Lietuvoje kompanijos. Finansų sektoriuje „Baltic Amadeus“ bendradarbiauja su dauguma Lietuvoje veikiančių bankų. Vienas iš jų – AB „SEB“ bankas, kuriam bendrovė sukūrė geriausią Lietuvoje pripažintą elektroninės bankininkystės sistemą. Telekomunikacijų sektoriuje bendrovė teikia paslaugas dviem stambiausioms Lietuvoje mobiliojo ryšio paslaugas teikiančioms įmonės – „Bitė“ ir „Omnitel“. šioms telekomunikacijų milžinėms „Baltic Amadeus“ teikia įvairias paslaugas, susijusias su duomenų apdorojimu ir sandėliavimu ar klientų pritraukimo modeliavimu.
POS;„Partnerystės sutartis su svetainių talpinimo paslaugas (angl. hosting) teikiančia „T26 Technology” yra pirmas žingsnis įgyvendinant „Alnos“ įmonių grupės strategiją plėtoti IT paslaugų eksportą Skandinavijos šalyse“, – teigia generalinis direktorius Tomas Milaknis. Nauja partnerystė atspindi bendrą įmonių grupės verslo kryptį – siekti didinti eksporto apimtį, kad pajamos iš eksporto sudarytų 50 proc. apyvartos.
POS;„Danijos rinkoje įžvelgiame dideles galimybes. Siūlome klientų aptarnavimo centro paslaugas ir IT sprendimus nepertraukiamai IT ūkio veiklai užtikrinti ir sutrikimams šalinti. Klientų aptarnavimo centras pagalbą teikia visomis skandinavų kalbomis, o esant poreikiui – ir kitomis kalbomis“, - teigia vadovas. Pasak T.Milaknio, IT specialistai iš Lietuvos užsienio rinkoje vertinami dėl savo kompetencijų, geros darbo kokybės ir profesionalumo. Tikimasi, kad aukšta specialistų kvalifikacija ir konkurencingos paslaugų kainos padės „Alnai“ sėkmingai įsitvirtinti naujose rinkose.
POS;Lietuviško kapitalo įmonei vadovaujantis F.Lindas yra ne vienintelis Danijos pilietis „Alna Group“ vadovybėje: IT sistemų priežiūros sprendimus teikiančios UAB „Alna Intelligence“ direktore tapo Christel Wienziers, verslo procesų valdymo ir nuomos paslaugų bendrovei „BPO House“ vadovauja Mikkel Bach. „Tikslingai samdome užsieniečius vadovus, kad apsikeisdami su jais gerąja patirtimi pasiektume norimų rezultatų. Tai labai geras pokytis įmonių grupėje, mininčiai 25-ąjį veiklos jubiliejų“, - aiškina T.Milaknis.
POS;Sutartį dėl valstybės debesijos paslaugų diegimo ir integravimo „Telia“ su partneriais BAIP ir „Blue Bridge“ bei Informacinės visuomenės plėtros komitetu pasirašė balandžio 15 d.
POS;„Telia“ už 930 tūkst. eurų (be PVM) įsipareigojo per tris mėnesius įdiegti valstybės debesijos infrastruktūrą, kurią sudarys du duomenų centrai, per 70 fizinių serverių ir kita techninė bei programinė įranga. IVPK pasilieka galimybę terminą pratęsti 6 mėnesių laikotarpiui.
POS;„Valstybės debesijos infrastruktūrai naudosime naujausias technologijas, kurios ir ateityje leis lengvai integruotis su tarptautiniais debesijos sprendimais bei užtikrins operatyvią platformos plėtrą. Privataus verslo operatyvumo principai, kompetencijos ir sukaupta patirtis leis valstybei sumažinti savo IT ūkio valdymo išlaidas“, – sako „Telia“ verslo klientų vadovas Daniel Karpovič.
POS;Atsisakius mažų, nusidėvėjusių, žemo energetinio efektyvumo duomenų centrų, Lietuvos žmonėms ir viešajam sektoriui bus galima teikti efektyvesnes, patikimesnes, saugesnes ir aukštesnės kokybės IT paslaugas. Taip pat bus taupomi mokesčių mokėtojų pinigai, kadangi valstybės institucijoms nebereikės atskirai investuoti į pasenusios įrangos atnaujinimą ir palaikymą.
POS;Praėjusiais metais „Telia“ suprojektavo valstybės debesijos paslaugų IT infrastruktūros architektūrą. Atliekant šiuos darbus atsižvelgta į skirtingus organizacijų ir įstaigų poreikius, duomenų jautrumą, patikimumą ir jų kiekį. Valstybės debesijos platformoje planuojama saugoti petabaitus duomenų, o rezervinio duomenų kopijavimo srautai sieks šimtus terabaitų per valandą.
NEG;Konkurencijos taryba susidomėjo mažiausiai trimis informacinių technologijų bendrovėmis – milijoninius pirkimus dažnai laiminčios įmonės dėl galimų susitarimų konkurencijos prievaizdų praėjusią savaitę sulaukė dėl galimų susitarimų prekiaujant JAV programinės įrangos milžinės „Microsoft“ įranga, pirmadienį pranešė LRT laida „Panorama“.
NEU;Neatmetama, kad viešuosiuose pirkimuose dalyvaujančios įmonės galėjo tartis, kuri pasiūlys geriausią kainą ir taip laimėti pirkimus.
NEG;Neoficialiais duomenimis, Konkurencijos tarybos akiratyje kol kas mažiausiai šeši viešieji pirkimai. „Panoramos“ teigimu, beveik visi konkursai skelbti „Microsoft“ programine įrangos pirkimui ir atnaujinimui. Konkurencijos tarybos pirmininkas šarūnas Keserauskas neatskleidžia, kokio masto galimi susitarimai, o taip pat, ar akiratyje yra „Microsoft Lietuva“.
NEG;„Blue Bridge“ bendrovė „Panoramai“ neneigė, kad Konkurencijos tarybos atstovai lankėsi jų biure. „Vykdo tyrimą dėl viešųjų pirkimų susijusių su „Microsoft“ programine įranga. Pateikė klausimų. Mes davėme visą jiems reikalingą informaciją“, – sakė įmonės direktorius Dalius Butkus.
POS;„TOP of mind“ kategorijos nugalėtojų trejetuke šiais metais karaliauja telekomunikacijų / elektronikos įmonės. Bitė Lietuva, UAB jau trečią kartą, surinkusi 2620 balų, įsitvirtino aukščiausioje pozicijoje. Antroji vieta atiteko 2018 m. sparčiai augusiai įmonei Teltonika, UAB, surinkusiai 1139 balus, o trečioje vietoje su 887 balais įsitvirtino telekomunikacijų bendrovė TELE2, UAB.
POS;Thermo Fisher Scientific Baltics, UAB, pernai užėmusi 2-ąją vietą, šiemet įkopė į pirmąją poziciją. Vos per plauką nuo jos atsiliko kategorijos naujokė Coca-Cola HBC Lietuva, UAB, o į trečią vietą drąsiai įžengė Lietuvos darbo rinkos naujokė automobilių elektronikos komponentų gamintoja HELLA Lithuania, UAB
POS;IT/Telekomunikacijų srityje Teso LT, UAB per 2018 metus iš visų IT įmonių sulaukusi didžiausio ieškančiųjų darbo dėmesio, turėjo nusileisti Adform Lithuania, UAB. Adform įmonė iš pernai užimtos 5 vietos šiemet šovė tiesiai į 1 vietą. Trečią vietą kaip ir pernai užėmė Telia
POS;Prekybos kategorijoje Lidl Lietuva, UAB jau trečius metus pelnytai gali džiaugtis pirmąja vieta. Lidl darbo pasiūlymai metų bėgyje buvo itin populiarūs tarp kandidatų, o TOP darbdavio rinkimų metu ją puikiai įvertino respondentai. Maxima LT, UAB iš 7 vietos pakilo į antrąją, o kategorijos dešimtuko naujokė Kesko Senukai Lithuania, UAB užėmė trečią vietą.
POS;Finansų srities pirmos vietos laimėtojas bankas Swedbank, AB sėkmingai apsigynė pernykštę pirmąją poziciją. Antroje vietoje – Luminor, o trečioje vietoje pakilusi iš 7 įsikūrė Ernst & Young Baltic, UAB.
POS;Verslo paslaugų centrų kategorijoje, su didele persvara nuo konkurentų, pirmąją vietą užėmė Danske Bank A/S Lietuvos filialas. šios įmonės darbo pasiūlymai 2018 metų bėgyje sulaukė apskritai didžiausio peržiūrų kiekio. Antroje vietoje, sulaukusi svaraus balsuotojų palaikymo, atsidūrė – Western Union Processing Lithuania, UAB, o trečioje vietoje su nedideliu skirtumu nuo Western Union – Nasdaq Vilnius Services, UAB.
POS;Rizikos kapitalo fondas „Open Circle Capital“ kartu su lietuviška technologijų įmone „Blue Bridge Baltic“ į Lietuvos startuolį „Teamgate“ investavo po 200 tūkstančių eurų. Gautą finansinę injekciją, kuri iš viso siekia 400 tūkstančių eurų, „Teamgate“ komanda panaudos savo pardavimų ir santykių su klientais valdymo (angl. CRM) sistemos plėtrai užsienio rinkose.
